,Title,Doctor Name,Address,Price,URL
0,دكتور,تامر يحيى مركز هيومن كير,المهندسين : شارع شهاب برج الزهراء الاداري,٣٥٠ ,/ar/dr/دكتور-هيومن-كير-تامر-يحيى-العظام-والروماتيزم
1,دكتور,عمر سعيد,الدقي : شارع التحرير أمام مترو البحوث,٣٠٠ ,/ar/dr/دكتور-عمر-سعيد-عظام-2
2,دكتور,يحيى نور,الدقي : شارع ميشيل باخوم,٤٠٠ ,/ar/dr/دكتور-يحيى-نور-عظام
3,دكتور,احمد محمد النقيطي,فيصل  : شارع فيصل,٤٠٠ ,/ar/dr/دكتور-احمد-محمد-النقيطي-عظام
4,دكتور,أحمد فريد مكي,المحلة الكبرى : الشون برج كليوباترا,١٥٠ ,/ar/dr/دكتور-أحمد-فريد-مكي-عظام
5,دكتور,محمد منصور العش,العاشر من رمضان  : شارع الاردنية,١٢٠ ,/ar/dr/دكتور-محمد-منصور-العش-عظام
6,دكتور,بهاء الدين سعيد الخضري,المعادي : شارع النصر,٤٠٠ ,/ar/dr/دكتور-بهاء-الدين-سعيد-الخضري-جراحة-العظام
7,دكتور,محمد أبوالمجد,المهندسين : عبد المنعم رياض ,٨٠٠ ,/ar/dr/دكتور-محمد-ابو-المجد-عظام
8,دكتور,وائل جعفر,حلوان : ذكي على رياض,٢٠٠ ,/ar/dr/دكتور-وائل-جعفر-عظام
9,دكتور,حازم حافظ,جانكليس : طريق الحريه,٢٣٠ ,/ar/dr/دكتور-حازم-حافظ-عظام
10,دكتور,محمد قطب,الهرم : شارع العريش,٣٠٠ ,/ar/dr/دكتور-محمد-قطب-عظام
11,دكتور,مدحت محمد حسان,فيصل  : شارع الملك فيصل,٣٠٠ ,/ar/dr/دكتور-مدحت-محمد-حسان--عظام
12,دكتور,خالد عبد الحليم حافظ,"فيصل  : 401ب شارع فيصل الطالبية أمام محل كبابجي الفقير,   ",٤٠٠ ,/ar/dr/دكتور-خالد-عبد-الحليم-حافظ
13,مركز,وليد محمود,حدائق الأهرام : البوابة الاولي  - برج الحسين الطبي - بجوار صيدلية دلمار,٢٥٠ ,/ar/dr/مركز-مركز-استيوكير-وليد-محمود-عظام
14,دكتور,حازم حافظ,جانكليس : طريق الحريه,٢٣٠ ,/ar/dr/دكتور-حازم-حافظ-عظام
15,دكتور,احمد سمير,فيصل  : اول شارع الملك  فيصل,٣٠٠ ,/ar/dr/دكتور-احمد-سمير-عظام
16,دكتور,احمد سليم,حدائق القبة : شارع مصر و السودان,٣٠٠ ,/ar/dr/دكتور-احمد-سليم-عظام
